--------- beginning of system
09-23 12:30:00.000 1000 2139 3461 D TestTag : Standard log line
09-23 12:30:01.000 1000 2139 3461 I TestTag : <div should_not_be_raw>HTML Injection Check</div>
09-23 12:30:00.000 1000 1000 0 I Thermal : SIOP:: AP:300 SKIN:280
09-23 12:30:01.000 1000 1000 0 I Thermal : SIOP:: AP:301 SKIN:281
09-23 12:30:02.000 1000 1000 0 I Thermal : SIOP:: AP:302 SKIN:282
09-23 12:30:03.000 1000 1000 0 I Thermal : SIOP:: AP:303 SKIN:283
09-23 12:30:04.000 1000 1000 0 I Thermal : SIOP:: AP:304 SKIN:284
09-23 12:30:05.000 1000 1000 0 I Thermal : SIOP:: AP:305 SKIN:285
09-23 12:30:06.000 1000 1000 0 I Thermal : SIOP:: AP:306 SKIN:286
09-23 12:30:07.000 1000 1000 0 I Thermal : SIOP:: AP:307 SKIN:287
09-23 12:30:08.000 1000 1000 0 I Thermal : SIOP:: AP:308 SKIN:288
09-23 12:30:09.000 1000 1000 0 I Thermal : SIOP:: AP:309 SKIN:289
09-23 12:30:10.000 1000 1000 0 I Thermal : SIOP:: AP:310 SKIN:290
09-23 12:30:11.000 1000 1000 0 I Thermal : SIOP:: AP:311 SKIN:291
09-23 12:30:12.000 1000 1000 0 I Thermal : SIOP:: AP:312 SKIN:292
09-23 12:30:13.000 1000 1000 0 I Thermal : SIOP:: AP:313 SKIN:293
09-23 12:30:14.000 1000 1000 0 I Thermal : SIOP:: AP:314 SKIN:294
09-23 12:30:15.000 1000 1000 0 I Thermal : SIOP:: AP:315 SKIN:295
09-23 12:30:16.000 1000 1000 0 I Thermal : SIOP:: AP:316 SKIN:296
09-23 12:30:17.000 1000 1000 0 I Thermal : SIOP:: AP:317 SKIN:297
09-23 12:30:18.000 1000 1000 0 I Thermal : SIOP:: AP:318 SKIN:298
09-23 12:30:19.000 1000 1000 0 I Thermal : SIOP:: AP:319 SKIN:299
09-23 12:30:20.000 1000 1000 0 I Thermal : SIOP:: AP:320 SKIN:300
09-23 12:30:21.000 1000 1000 0 I Thermal : SIOP:: AP:321 SKIN:301
09-23 12:30:22.000 1000 1000 0 I Thermal : SIOP:: AP:322 SKIN:302
09-23 12:30:23.000 1000 1000 0 I Thermal : SIOP:: AP:323 SKIN:303
09-23 12:30:24.000 1000 1000 0 I Thermal : SIOP:: AP:324 SKIN:304
09-23 12:30:25.000 1000 1000 0 I Thermal : SIOP:: AP:325 SKIN:305
09-23 12:30:26.000 1000 1000 0 I Thermal : SIOP:: AP:326 SKIN:306
09-23 12:30:27.000 1000 1000 0 I Thermal : SIOP:: AP:327 SKIN:307
09-23 12:30:28.000 1000 1000 0 I Thermal : SIOP:: AP:328 SKIN:308
09-23 12:30:29.000 1000 1000 0 I Thermal : SIOP:: AP:329 SKIN:309
09-23 12:30:30.000 1000 1000 0 I Thermal : SIOP:: AP:330 SKIN:310
09-23 12:30:31.000 1000 1000 0 I Thermal : SIOP:: AP:331 SKIN:311
09-23 12:30:32.000 1000 1000 0 I Thermal : SIOP:: AP:332 SKIN:312
09-23 12:30:33.000 1000 1000 0 I Thermal : SIOP:: AP:333 SKIN:313
09-23 12:30:34.000 1000 1000 0 I Thermal : SIOP:: AP:334 SKIN:314
09-23 12:30:35.000 1000 1000 0 I Thermal : SIOP:: AP:335 SKIN:315
09-23 12:30:36.000 1000 1000 0 I Thermal : SIOP:: AP:336 SKIN:316
09-23 12:30:37.000 1000 1000 0 I Thermal : SIOP:: AP:337 SKIN:317
09-23 12:30:38.000 1000 1000 0 I Thermal : SIOP:: AP:338 SKIN:318
09-23 12:30:39.000 1000 1000 0 I Thermal : SIOP:: AP:339 SKIN:319
09-23 12:30:40.000 1000 1000 0 I Thermal : SIOP:: AP:340 SKIN:320
09-23 12:30:41.000 1000 1000 0 I Thermal : SIOP:: AP:341 SKIN:321
09-23 12:30:42.000 1000 1000 0 I Thermal : SIOP:: AP:342 SKIN:322
09-23 12:30:43.000 1000 1000 0 I Thermal : SIOP:: AP:343 SKIN:323
09-23 12:30:44.000 1000 1000 0 I Thermal : SIOP:: AP:344 SKIN:324
09-23 12:30:45.000 1000 1000 0 I Thermal : SIOP:: AP:345 SKIN:325
09-23 12:30:46.000 1000 1000 0 I Thermal : SIOP:: AP:346 SKIN:326
09-23 12:30:47.000 1000 1000 0 I Thermal : SIOP:: AP:347 SKIN:327
09-23 12:30:48.000 1000 1000 0 I Thermal : SIOP:: AP:348 SKIN:328
09-23 12:30:49.000 1000 1000 0 I Thermal : SIOP:: AP:349 SKIN:329
09-23 12:30:10.000 1000 1000 0 I Thermal : temperature: 35000
09-23 12:31:00.000 1000 1000 I CCC_LOG : OUTGOING: 020700
